label	source	lambda	setting	setting_description	n_random_states	n	n_features	target_vs_saluki_pearson	ortholog_pearson	pearson_vs_target_mean	pearson_vs_target_sd	spearman_vs_target_mean	spearman_vs_target_sd	pearson_vs_saluki_mean	pearson_vs_saluki_sd	spearman_vs_saluki_mean	spearman_vs_saluki_sd	delta_vs_saluki_prior_baseline_mean	delta_vs_saluki_prior_baseline_sd	delta_vs_saluki_pure_baseline_mean	delta_vs_saluki_pure_baseline_sd	mean_best_iter_mean	mean_best_iter_sd
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	human_only	Compact human sequence and regulatory features only.	3	12307	1802	0.9873841144540413	0.8274613196439591	0.7510777931231236	0.0005754635870117719	0.7440022970341449	0.0001941461315758494	0.7507537089718523	0.0004910993669090746	0.7428955086512259	0.0004421604224651557	-0.0857232068768764	0.0005754635870117719	0.0015127931231235792	0.0005754635870117719	1390.0666666666666	254.74703792847785
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	mask_only	Human features plus mouse-prior availability/confidence indicators, but no mouse values.	3	12307	1806	0.9873841144540413	0.8274613196439591	0.7513104739306958	7.738350500375344e-05	0.7445015301647123	0.0003343318239697956	0.7509378003116515	0.00020294630974326873	0.7434396143745889	0.00046569379782889804	-0.08549052606930412	7.738350500375344e-05	0.0017454739306958695	7.738350500375344e-05	1462.5333333333335	163.4117906802729
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	alternate_mouse_saluki_prior	Human features plus the non-matching mouse prior source.	3	12307	1805	0.9873841144540413	0.8274613196439591	0.8512252288000738	0.0006085173229678975	0.846385184190999	0.0005175307285783053	0.833832332885518	0.0005116080926361994	0.8276708780135106	0.0004799396745413305	0.014424228800073805	0.0006085173229678975	0.10166022880007379	0.0006085173229678975	759.4666666666667	41.34021448097886
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	no_direct_mouse_saluki_value	Human features plus all indicators and only the non-matching mouse prior value.	3	12307	1807	0.9873841144540413	0.8274613196439591	0.8513283673776387	0.0003572314954250647	0.846260586666399	0.0005637915623449511	0.8338807532797539	0.0005446935849105476	0.8274529431288631	0.0006878226250081463	0.014527367377638748	0.0003572314954250647	0.10176336737763873	0.0003572314954250647	832.1333333333332	164.30974813848792
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	direct_mouse_saluki_prior	Human features plus the same mouse prior source used in label regularization.	3	12307	1805	0.9873841144540413	0.8274613196439591	0.8532493119524545	0.0004103511444144602	0.8488994678239341	0.0005029481769320417	0.8349659988620898	0.0005844504665046062	0.8295868832551495	0.0006562175873617006	0.01644831195245437	0.00041035114441446014	0.10368431195245435	0.0004103511444144602	813.6	240.16519314838283
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	both_mouse_priors	Human features plus both mouse prior values and their indicators.	3	12307	1808	0.9873841144540413	0.8274613196439591	0.853833052698101	0.00021560119148577802	0.8489979765272433	0.00032220347148024603	0.8352098318439487	0.0001441349864586257	0.8291958123194755	0.00026687177633781973	0.01703205269810097	0.00021560119148577802	0.10426805269810095	0.00021560119148577802	792.0666666666666	110.91119570779739
