label	source	lambda	target_vs_saluki_pearson	target_vs_saluki_spearman	ortholog_n	ortholog_pearson	ortholog_spearman	n	n_features	n_with_mouse_pc1	n_with_saluki_mouse_prior	prior_pearson_vs_target	prior_spearman_vs_target	prior_pearson_vs_saluki	prior_spearman_vs_saluki	mean_best_iter	device_used
orthoreg_mouse_saluki_0.3	mouse_saluki	0.3	0.9750428267782643	0.9756825347054032	10768	0.8954490876387982	0.8895552427419473	12307	1808	11068	10682	0.8961706565786434	0.8931285375381656	0.8310165815485296	0.8244840347692727	901.6	cuda
orthoreg_mouse_saluki_prior_0.3	saluki_mouse_prior	0.3	0.9758559387836035	0.9762601098241217	10768	0.8944367854053431	0.8881810450207411	12307	1808	11068	10682	0.893700272953149	0.8909789395664586	0.8313925351949237	0.8245669837541396	1074.4	cuda
orthoreg_mouse_saluki_0.2	mouse_saluki	0.2	0.9831393904440342	0.9845378156386716	10768	0.8630919426421032	0.8563948572309732	12307	1808	11068	10682	0.8759023496323104	0.8717983984464187	0.8337631401790504	0.8273814047383791	843.6	cuda
orthoreg_mouse_saluki_prior_0.2	saluki_mouse_prior	0.2	0.9834879131529531	0.9847993181946018	10768	0.8628449142377057	0.8554024398856919	12307	1808	11068	10682	0.8732439186996829	0.8693329249180142	0.8329168485207806	0.8264890986957162	813.8	cuda
orthoreg_mouse_saluki_0.15	mouse_saluki	0.15	0.9857349765946632	0.9874289539065569	10768	0.8456431453288011	0.8387304640060641	12307	1808	11068	10682	0.8646778745568962	0.8601598252574341	0.834237491771262	0.827960265381515	938.6	cuda
orthoreg_mouse_saluki_prior_0.15	saluki_mouse_prior	0.15	0.9859130534218981	0.9875619226286901	10768	0.8459451885604446	0.8380616143818406	12307	1808	11068	10682	0.8630483229410489	0.8586540976423277	0.8341300899499912	0.8278159450520186	888.8	cuda
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	11068	10682	0.8535980327079343	0.8486496385320901	0.835044559134507	0.8288886286985738	797.8	cuda
orthoreg_mouse_saluki_prior_0.1	saluki_mouse_prior	0.1	0.9874434113648992	0.989366479956576	10768	0.8284242615689144	0.8201967468384972	12307	1808	11068	10682	0.8524531259192563	0.8477767120013389	0.8351798698150238	0.8292276944234114	859.4	cuda
orthoreg_mouse_saluki_0.05	mouse_saluki	0.05	0.9881126076728147	0.9902564404413625	10768	0.8086374539037265	0.8016772970249807	12307	1808	11068	10682	0.8417598438626789	0.8364297959445435	0.8352743137585071	0.8291885162955858	765.6	cuda
orthoreg_mouse_saluki_prior_0.05	saluki_mouse_prior	0.05	0.9881109628403364	0.9902501912392397	10768	0.8103707291313048	0.8019228724543037	12307	1808	11068	10682	0.84100059610557	0.8359306180260099	0.8350631455831989	0.8292307345344567	857.2	cuda
