target	model	n	pearson	spearman	r2	mean_best_iter	sec
saluki_human_pc1	xgb_cuda_utr3_5mer	12916	0.7322454965049793	0.7240959049321417	0.5344957113265991	1074.8	31.8
human_pruned_pc1	xgb_cuda_utr3_5mer	12916	0.7243635468382565	0.7153875744337814	0.5231086611747742	1208.0	34.4
human_full_pc1	xgb_cuda_utr3_5mer	12916	0.7060669088780754	0.6991888038022581	0.4967208504676819	849.0	26.0
