target	model	gene_universe	n	pearson	spearman	r2	mean_best_iter	sec
saluki_human_pc1	xgb_cuda_tuned	common	12916	0.7372161217669273	0.7275595035720267	0.5423911809921265	1239.2	17.6
human_pruned_pc1	xgb_cuda_tuned	common	12916	0.7277370713132587	0.7178145029415958	0.5285607576370239	951.4	13.7
human_full_pc1	xgb_cuda_tuned	common	12916	0.710946175393679	0.7030235975699192	0.504425048828125	1110.8	15.6
