max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_alpha	reg_lambda	pearson	spearman	r2	mean_best_iter	sec
6	0.02	4	0.9	0.75	0.0	1.0	0.7373185422762043	0.7273523557775261	0.5422563552856445	1208.0	38.72186064394191
6	0.03	3	0.9	0.7	0.0	1.0	0.7349910075907509	0.7256908337890736	0.5392423868179321	1004.8	32.975798797793686
6	0.03	5	0.9	0.8	0.0	1.5	0.7347006755800207	0.7246867276608104	0.5388654470443726	935.8	31.784319380763918
6	0.03	4	0.85	0.7	0.0	1.0	0.7345056181956815	0.7245418585409542	0.5385617017745972	943.6	31.281454250216484
7	0.03	4	0.85	0.7	0.0	1.0	0.7311898788140692	0.7214499013771045	0.5327286720275879	864.4	38.45352707291022
