model	pearson	spearman	r2	mean_best_iter
compact_all	0.7453996166024442	0.7365527176635889	0.5538649559020996	1592.2
plus5_all	0.7431900739071782	0.7356500343918144	0.5499409437179565	1429.0
compact_cwcs	0.7416679837686431	0.7319850906421833	0.5487539768218994	1318.2
compact_deepripe	0.7412025945520689	0.7316852681693086	0.547792375087738	1111.8
compact_base	0.7372661681156368	0.7272871333486157	0.5421582460403442	1130.2
