model	pearson	spearman	r2	xgb_weight	xgb5_weight	hgb_weight	ridge_weight
xgb_xgb5_hgb_ridge	0.7403477931612003	0.7316679609616737	0.5457191848394889	0.65	0.13999999999999999	0.05249999999999999	0.1575
xgb	0.7372161217669273	0.7275595035720267	0.5423911809921265				
xgb5	0.7322454965049793	0.7240959049321417	0.5344957113265991				
hgb	0.7275784987197061	0.7177057345692702	0.5285404920578003				
ridge	0.6977328971533568	0.699912299497617	0.48682618141174316				
