model	pearson	spearman	r2	xgb_weight	hgb_weight	ridge_weight
xgb_hgb_ridge	0.7399683018411122	0.7310760996149687	0.5453938603753583	0.75	0.08750000000000001	0.16249999999999998
xgb	0.7372161217669273	0.7275595035720267	0.5423911809921265			
hgb_ridge_0.8_0.2	0.7324660837937247	0.7236626992642983	0.5345826148986816			
hgb	0.7275784987197061	0.7177057345692702	0.5285404920578003			
ridge	0.6977328971533568	0.699912299497617	0.48682618141174316			
