setting	n	n_features	pearson	spearman	r2	mean_best_iter
common_compact_all	12916	1802	0.7430351508258569	0.7350636345048492	0.5501513481140137	1081.0
common_plus5_all	12916	2826	0.7424229042716405	0.7354679287603321	0.5487837791442871	1239.8
common_compact_base	12916	526	0.7371181129996757	0.7274529003981325	0.5422242879867554	1170.4
