training_target	evaluation_target	n_random_states	cv_splits	n	n_features	pearson_mean	spearman_mean	r2_mean	rmse_mean	mae_mean	mean_best_iteration_mean	pearson_sd	spearman_sd	r2_sd	rmse_sd	mae_sd	mean_best_iteration_sd
human_no_gejman_pc1	human_no_gejman_pc1	3	10	12307	1802	0.7476163249091289	0.7394539305766189	0.5572109329378764	0.6687422327797607	0.5259605568230743	1482.1000000000001	0.0010015206228510501	0.001370860870443388	0.0015284891772010022	0.0011536635705641691	0.001266332289745099	144.38708390988447
human_no_gejman_pc1	orthoreg_reconstructed_mouse_pc1_0.10	3	10	12307	1802	0.7532139087454115	0.7454325978320356	0.5651242842329364	0.6626624134910174	0.5214546915578273	1482.1000000000001	0.0010043711389074285	0.00138750534103152	0.0015487182872821906	0.0011793650489068381	0.0013662051306951042	144.38708390988447
human_no_gejman_pc1	saluki_human_pc1	3	10	12307	1802	0.7529322353784149	0.7444637832242856	0.5638006114852258	0.6722642829480726	0.5272869122436282	1482.1000000000001	0.0013980014728723982	0.0017141561369703657	0.002100550635759085	0.0016175555992619399	0.0016802676833181207	144.38708390988447
orthoreg_reconstructed_mouse_pc1_0.10	human_no_gejman_pc1	3	10	12307	1802	0.7479688702217259	0.7403906471328074	0.5581564653072969	0.6680278997573126	0.5248494455983441	1621.5333333333335	0.0010191760345488873	0.0009069081054052367	0.0014481263766225245	0.001094368401275327	0.0009068085337082931	145.17886668979511
orthoreg_reconstructed_mouse_pc1_0.10	orthoreg_reconstructed_mouse_pc1_0.10	3	10	12307	1802	0.7537618619976062	0.7465463149183243	0.5664118049574989	0.661680883903561	0.5200956391810955	1621.5333333333335	0.000954991559944209	0.0007944766584734614	0.0013583222551899084	0.0010360976592582863	0.0008737138905969776	145.17886668979511
orthoreg_reconstructed_mouse_pc1_0.10	saluki_human_pc1	3	10	12307	1802	0.7533329621451577	0.7453949625229971	0.5649645385466965	0.6713670048078826	0.5260819101716598	1621.5333333333335	0.0013449234435284358	0.0011000006296299676	0.0018952258953442989	0.0014616548579579733	0.001425672580959505	145.17886668979511
