source	comparison_type	cohort	metric	n_comparisons	mean	median	q25	q75	min	max
study_mean_labels	study_mean_label_pair	all	pearson	171	0.4420836957685342	0.5083028054671435	0.3075639415721847	0.6030420272110992	-0.12705182821567773	0.7976933224813026
study_mean_labels	study_mean_label_pair	all	spearman	171	0.462945047135819	0.535845653642954	0.33059653478150347	0.6334909042884247	-0.07377027941376697	0.8328612764960135
study_mean_labels	study_mean_label_pair	all	rmse	171	1.03387860800916	0.9819880175395482	0.8755759450259271	1.2096104755476254	0.6160134509168972	1.6883991186137328
study_mean_labels	study_mean_label_pair	all	mae	171	0.7886198168018238	0.7524021180900011	0.6661374395314057	0.9164398890447382	0.45711686413352076	1.2789534530046291
study_mean_labels	study_mean_label_pair	all	median_abs_error	171	0.6335247098516067	0.5938364461461192	0.5234639306340543	0.7208164682834469	0.3027877057102201	1.0508433762952958
study_mean_labels	study_mean_label_pair	all	p90_abs_error	171	1.6440100588615356	1.5717268436649423	1.3903830068939125	1.9312644580297262	0.9942692874675051	2.62593935172483
study_residuals	study_label_vs_human_no_gejman_pc1	all	pearson	19	0.6769640390412587	0.7417137145793501	0.6609907600920477	0.7860891770431704	0.08789425818403501	0.9144487354579085
study_residuals	study_label_vs_human_no_gejman_pc1	all	spearman	19	0.6878357323808286	0.7746539505365903	0.6502117693480631	0.8108614085443544	0.04992978749044466	0.9177405165941241
study_residuals	study_label_vs_human_no_gejman_pc1	all	rmse	19	0.7839913186704518	0.7219349589045345	0.6551504492186784	0.8428100186901337	0.4083765012806859	1.348078362830793
study_residuals	study_label_vs_human_no_gejman_pc1	all	mae	19	0.5986166083457174	0.5617109552835675	0.4734204613398308	0.6414783102021555	0.30257427355206284	1.0158961665890436
study_residuals	study_label_vs_human_no_gejman_pc1	all	median_abs_error	19	0.4817690631432612	0.4555547191399905	0.38240317760789855	0.5186363776255801	0.2307616925346465	0.9266065730993795
study_residuals	study_label_vs_human_no_gejman_pc1	all	p90_abs_error	19	1.2470510111287072	1.17514989990034	0.9962752852160126	1.3299541095049714	0.6499493635432729	2.1585653785108456
study_residuals	study_residual_pair	all	pearson	171	0.08877214581997908	0.08526892662226875	-0.011741316857633098	0.184435341348358	-0.34142558502297493	0.5460561952528158
study_residuals	study_residual_pair	all	spearman	171	0.10487753808820127	0.11313927515636898	-0.01616751489848474	0.21522493862236908	-0.36829882164783173	0.5651242996256837
study_residuals	study_residual_pair	all	rmse	171	1.03387860800916	0.9819880175395482	0.8755759450259271	1.2096104755476254	0.6160134509168972	1.6883991186137328
study_residuals	study_residual_pair	all	mae	171	0.7886198168018238	0.7524021180900011	0.6661374395314057	0.9164398890447382	0.45711686413352076	1.2789534530046291
study_residuals	study_residual_pair	all	median_abs_error	171	0.6335247098516067	0.5938364461461192	0.5234639306340543	0.7208164682834469	0.30278770571022007	1.0508433762952958
study_residuals	study_residual_pair	all	p90_abs_error	171	1.6440100588615356	1.5717268436649423	1.3903830068939125	1.9312644580297265	0.9942692874675051	2.62593935172483
study_mean_labels	study_mean_label_pair	no_gejman	pearson	153	0.4561784424801258	0.5302671662377155	0.3243424184593401	0.6110085625401063	-0.12705182821567773	0.7976933224813026
study_mean_labels	study_mean_label_pair	no_gejman	spearman	153	0.4764155723394888	0.554838224638509	0.32102400591700464	0.6387750257016084	-0.07377027941376697	0.8328612764960135
study_mean_labels	study_mean_label_pair	no_gejman	rmse	153	1.0179659609715537	0.9540082923758711	0.8612595975458048	1.2080463383835063	0.6160134509168972	1.6883991186137328
study_mean_labels	study_mean_label_pair	no_gejman	mae	153	0.7751515387873538	0.7203392711916169	0.6557499698058841	0.9175431550099512	0.45711686413352076	1.2789534530046291
study_mean_labels	study_mean_label_pair	no_gejman	median_abs_error	153	0.6217774256832058	0.5842831583560907	0.5184591597094063	0.7096841201296817	0.3027877057102201	1.0508433762952958
study_mean_labels	study_mean_label_pair	no_gejman	p90_abs_error	153	1.6157640579188342	1.518438713525992	1.3762622497380175	1.9307109064244645	0.9942692874675051	2.62593935172483
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman	pearson	18	0.6887382175480189	0.7420044515538504	0.6754589678191353	0.7905251264707773	0.08789425818403501	0.9144487354579085
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman	spearman	18	0.6986450531747632	0.7763402470222467	0.6739836711395628	0.8160540815892615	0.04992978749044466	0.9177405165941241
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman	rmse	18	0.7699878163876931	0.7145070066179076	0.6460132628758906	0.8149336928701862	0.4083765012806859	1.348078362830793
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman	mae	18	0.5872973612807647	0.5429157935114423	0.46413158594202775	0.6319359734530946	0.30257427355206284	1.0158961665890436
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman	median_abs_error	18	0.4726291500952146	0.434024352918178	0.37582731268341507	0.501094452418893	0.2307616925346465	0.9266065730993795
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman	p90_abs_error	18	1.2240129848299135	1.1389053662902584	0.974272746966352	1.314737709044133	0.6499493635432729	2.1585653785108456
study_residuals	study_residual_pair	no_gejman	pearson	153	0.07930364518643553	0.079584994944634	-0.01804038972172677	0.17720577547403665	-0.34142558502297493	0.5460561952528158
study_residuals	study_residual_pair	no_gejman	spearman	153	0.09560927465696192	0.10110876392042303	-0.029343706972552175	0.19557442481659842	-0.36829882164783173	0.5651242996256837
study_residuals	study_residual_pair	no_gejman	rmse	153	1.0179659609715537	0.9540082923758711	0.8612595975458048	1.2080463383835063	0.6160134509168972	1.6883991186137328
study_residuals	study_residual_pair	no_gejman	mae	153	0.7751515387873538	0.7203392711916169	0.6557499698058841	0.9175431550099512	0.45711686413352076	1.2789534530046291
study_residuals	study_residual_pair	no_gejman	median_abs_error	153	0.6217774256832058	0.5842831583560907	0.5184591597094063	0.7096841201296817	0.30278770571022007	1.0508433762952958
study_residuals	study_residual_pair	no_gejman	p90_abs_error	153	1.6157640579188342	1.518438713525992	1.3762622497380175	1.9307109064244647	0.9942692874675051	2.62593935172483
