comparison_type	cohort	left	right	n	pearson	spearman	mse	rmse	mae	median_abs_error	p90_abs_error	p95_abs_error	mean_signed_diff	sd_signed_diff
study_label_vs_human_no_gejman_pc1	all	Akimitsu	human_no_gejman_pc1	9195	0.7716671181053082	0.7780265435079032	0.4628178652652329	0.6803071844874438	0.5095424922725356	0.39600129312009247	1.07857354590628	1.4020232770754453	-0.06811395498990196	0.6768887311817701
study_label_vs_human_no_gejman_pc1	all	Akimitsu2	human_no_gejman_pc1	4139	0.7417137145793501	0.7802145606737959	0.49996078907401803	0.7070790543312806	0.524120631739317	0.4118385708842665	1.0658383002175622	1.3604546081888091	0.008721734703074116	0.7070252615131847
study_label_vs_human_no_gejman_pc1	all	Bazzini	human_no_gejman_pc1	10673	0.08789425818403501	0.04992978749044466	1.8173152723325516	1.348078362830793	1.0067450518707841	0.7860361914151254	2.1585653785108456	2.6637621806789045	-0.0386622577975167	1.3475238410338233
study_label_vs_human_no_gejman_pc1	all	Cramer	human_no_gejman_pc1	7445	0.6936584150787901	0.7028980335071255	0.6252685118315177	0.7907392185996074	0.613424299078596	0.5028199668595847	1.2762805640409454	1.5772460140802467	-0.12152712839118203	0.7813447823442029
study_label_vs_human_no_gejman_pc1	all	Cramer2	human_no_gejman_pc1	4824	0.25067439744589276	0.2771825552503137	1.4193576647354336	1.1913679804054806	0.905902716458649	0.721196266324078	1.8864806843929944	2.39112572464418	-0.08575669824911734	1.1882775153308445
study_label_vs_human_no_gejman_pc1	all	Darnell	human_no_gejman_pc1	2925	0.6693924853992503	0.6643455503503752	0.7441158863413574	0.8626215197532214	0.6381065315779275	0.4959179090968179	1.3323514616314138	1.6413715367246466	-0.32505866268773903	0.7990323849212982
study_label_vs_human_no_gejman_pc1	all	Dieterich	human_no_gejman_pc1	7104	0.830260837805512	0.8212467546341686	0.3471743185007196	0.5892150019311454	0.45484271054422476	0.3692514477589316	0.9499318836407762	1.1660819021804547	-0.08393714950265439	0.5832056870728273
study_label_vs_human_no_gejman_pc1	all	Gejman	human_no_gejman_pc1	7382	0.46502882591957584	0.4932679580900055	1.073408636377928	1.0360543597601084	0.8023630555148653	0.6462874980081006	1.6617354845069983	2.0632428756663574	-0.08140243289489874	1.032851528680051
study_label_vs_human_no_gejman_pc1	all	He	human_no_gejman_pc1	8694	0.7772172781879564	0.8281183964877323	0.4535009907567762	0.673424821904254	0.4471757654926855	0.30516913356827857	0.9522702087166913	1.3588763597534697	-0.06977982596274239	0.6697997959430769
study_label_vs_human_no_gejman_pc1	all	Jaffrey	human_no_gejman_pc1	3640	0.5289924555146945	0.5509451062778167	1.5089603131562148	1.2283974573224314	1.0158961665890436	0.9266065730993795	1.976889140145147	2.2582787687922883	0.8762662014833	0.8608820228662256
study_label_vs_human_no_gejman_pc1	all	Marks	human_no_gejman_pc1	6430	0.7338136408557074	0.7255249963989043	0.553693547066068	0.7441058708719264	0.5720237373385688	0.46028100152488816	1.199637853163597	1.4662189218862005	-0.18734748781599142	0.7201350330841454
study_label_vs_human_no_gejman_pc1	all	Mortazavi	human_no_gejman_pc1	7523	0.7449000927798192	0.7746539505365903	0.521190084888492	0.7219349589045345	0.5617109552835675	0.4555547191399905	1.17514989990034	1.4388745242579606	-0.10411672730653071	0.7143877042499193
study_label_vs_human_no_gejman_pc1	all	Oberdoerffer	human_no_gejman_pc1	9087	0.7422951885283507	0.8004760624545402	0.48366702084592494	0.6954617321218508	0.5238893165428091	0.4124939866963654	1.1026608326801766	1.4131160365465325	-0.009393942175876425	0.6953982849391579
study_label_vs_human_no_gejman_pc1	all	Rinn	human_no_gejman_pc1	9463	0.9144487354579085	0.9177405165941241	0.16677136679825408	0.4083765012806859	0.30257427355206284	0.2307616925346465	0.6499493635432729	0.8302089310729729	0.0067863755397083595	0.40832010960187615
study_label_vs_human_no_gejman_pc1	all	Rissland	human_no_gejman_pc1	9680	0.6525890347848451	0.636077988345751	0.677326560016315	0.8229985176270459	0.6448500888263836	0.5344527883915755	1.327556757378529	1.6071624347760372	0.003172949814963024	0.8229924011835006
study_label_vs_human_no_gejman_pc1	all	Rissland2	human_no_gejman_pc1	10369	0.8610896632808805	0.8858827766458264	0.2776671363222335	0.526941302539698	0.39012436519210036	0.30121375663351824	0.8296709107613581	1.0523816033564315	-0.03309880246413246	0.525900756414815
study_label_vs_human_no_gejman_pc1	all	Shendure	human_no_gejman_pc1	9681	0.7949610758983843	0.7888058159831003	0.4056111368601985	0.6368760765331027	0.4919982121354368	0.3955549074568655	1.040280361715334	1.2881032274447806	-0.10568500894527964	0.628046029956749
