label	source	lambda	n_random_states	ortholog_n	n	n_features	pure_n	pure_n_features	target_vs_saluki_pearson_mean	target_vs_saluki_pearson_sd	target_vs_saluki_spearman_mean	target_vs_saluki_spearman_sd	ortholog_pearson_mean	ortholog_pearson_sd	ortholog_spearman_mean	ortholog_spearman_sd	prior_pearson_vs_target_mean	prior_pearson_vs_target_sd	prior_spearman_vs_target_mean	prior_spearman_vs_target_sd	prior_pearson_vs_saluki_mean	prior_pearson_vs_saluki_sd	prior_spearman_vs_saluki_mean	prior_spearman_vs_saluki_sd	pure_pearson_vs_target_mean	pure_pearson_vs_target_sd	pure_spearman_vs_target_mean	pure_spearman_vs_target_sd	pure_pearson_vs_saluki_mean	pure_pearson_vs_saluki_sd	pure_spearman_vs_saluki_mean	pure_spearman_vs_saluki_sd	shuffled_prior_pearson_vs_target_mean	shuffled_prior_pearson_vs_target_sd	shuffled_prior_spearman_vs_target_mean	shuffled_prior_spearman_vs_target_sd	shuffled_prior_pearson_vs_saluki_mean	shuffled_prior_pearson_vs_saluki_sd	shuffled_prior_spearman_vs_saluki_mean	shuffled_prior_spearman_vs_saluki_sd	real_minus_shuffled_pearson_vs_target_mean	real_minus_shuffled_pearson_vs_target_sd	real_minus_pure_pearson_vs_target_mean	real_minus_pure_pearson_vs_target_sd	real_minus_shuffled_pearson_vs_saluki_mean	real_minus_shuffled_pearson_vs_saluki_sd	real_minus_pure_pearson_vs_saluki_mean	real_minus_pure_pearson_vs_saluki_sd	mean_best_iter_mean	mean_best_iter_sd	pure_mean_best_iter_mean	pure_mean_best_iter_sd	shuffled_prior_mean_best_iter_mean	shuffled_prior_mean_best_iter_sd
orthoreg_reconstructed_mouse_pc1_0.3	reconstructed_mouse_pc1	0.3	3	10768	12307	1808	12307	1802	0.9750428267782643	0.0	0.9756825347054031	1.3597399555105182e-16	0.8954490876387982	0.0	0.8895552427419474	1.3597399555105182e-16	0.8960184347049207	0.0001469449750651823	0.8930372398495415	0.00021519685415337037	0.8305541816851906	0.0004178769995874061	0.8241073060835422	0.00045389116577462265	0.7552894553037763	0.0005906591497951168	0.7493954414853015	0.0012599854351426551	0.7504670950429787	0.0003600912796521744	0.7430643067091637	0.0011053836647375295	0.7545306426234245	0.0004510868193778831	0.7486177178737027	0.0006494099403037969	0.7497051728699434	0.0005348483635189674	0.7423390245641263	0.0006001400026343143	0.14148779208149628	0.0005978715723341972	0.14072897940114437	0.00044405931844599	0.08084900881524715	0.000846331398302204	0.08008708664221183	0.00013700836919662261	793.8666666666668	96.53959464040302	1507.3333333333333	146.88503440900072	1424.2666666666664	270.96400744994406
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	3	10768	12307	1808	12307	1802	0.9873841144540413	0.0	0.9893246873558658	1.3597399555105182e-16	0.8274613196439592	1.3597399555105182e-16	0.820477556689548	0.0	0.853833052698101	0.00021560119148577802	0.8489979765272432	0.00032220347148024603	0.8352098318439488	0.0001441349864586257	0.8291958123194755	0.00026687177633781973	0.7510777931231236	0.0005754635870117719	0.7440022970341449	0.0001941461315758494	0.7507537089718523	0.0004910993669090746	0.7428955086512259	0.00044216042246515567	0.7508533336013793	0.0010098803814563185	0.7440850333950909	0.0008046221986207237	0.7504999768042767	0.0010125838395634878	0.7429329334387677	0.0008420922394749394	0.10297971909672154	0.0008959539617399272	0.10275525957497737	0.0005615538281011827	0.08470985503967199	0.0008735138428909973	0.08445612287209647	0.00036404651325271705	792.0666666666666	110.91119570779739	1390.0666666666666	254.74703792847785	1548.1333333333332	329.1289311703444
orthoreg_reconstructed_mouse_pc1_0.05	reconstructed_mouse_pc1	0.05	3	10768	12307	1808	12307	1802	0.9881126076728147	0.0	0.9902564404413625	0.0	0.8086374539037265	0.0	0.8016772970249807	0.0	0.842083297993752	0.0004203267670117769	0.8369465199677227	0.0005580054804753111	0.8354223586427084	0.00032646803719388784	0.8296318530094546	0.0004935338011650733	0.7480259036635936	0.0002132622790532078	0.7409005736979587	0.0003069106528514482	0.7502440493958117	0.00025246466748809994	0.7426013636257084	0.00036510636221873875	0.7479966860081876	0.0010434211252017057	0.7407318106116634	0.0008140411596900033	0.7501341284309587	0.0011677487862422412	0.742386130248823	0.0009658747442341172	0.09408661198556449	0.0008772041369339382	0.09405739433015843	0.00025351609549594217	0.0852882302117497	0.0011904020560768874	0.08517830924689689	0.0004031742630351341	724.0	48.99142782160978	1342.7333333333333	230.54937287560193	1447.9333333333332	106.94378585655801
