label	source	lambda	random_state	target_vs_saluki_pearson	target_vs_saluki_spearman	ortholog_n	ortholog_pearson	ortholog_spearman	n	n_features	n_with_mouse_pc1	n_with_saluki_mouse_prior	prior_pearson_vs_target	prior_spearman_vs_target	prior_pearson_vs_saluki	prior_spearman_vs_saluki	mean_best_iter	device_used	pure_n	pure_n_features	pure_pearson_vs_target	pure_spearman_vs_target	pure_pearson_vs_saluki	pure_spearman_vs_saluki	pure_mean_best_iter	pure_device_used	shuffled_prior_pearson_vs_target	shuffled_prior_spearman_vs_target	shuffled_prior_pearson_vs_saluki	shuffled_prior_spearman_vs_saluki	shuffled_prior_mean_best_iter	real_minus_shuffled_pearson_vs_target	real_minus_pure_pearson_vs_target	real_minus_shuffled_pearson_vs_saluki	real_minus_pure_pearson_vs_saluki
orthoreg_reconstructed_mouse_pc1_0.3	reconstructed_mouse_pc1	0.3	42	0.9750428267782643	0.9756825347054032	10768	0.8954490876387982	0.8895552427419473	12307	1808	11068	10682	0.8961706565786434	0.8931285375381656	0.8310165815485296	0.8244840347692727	901.6	cuda	12307	1802	0.7559181400341815	0.7508488607926842	0.7508075580500262	0.7442753820864065	1636.2	cuda	0.7540763997149655	0.7490009522914057	0.7492219718708004	0.7426238352899038	1245.2	0.14209425686367783	0.1402525165444619	0.08179460967772922	0.08020902349850345
orthoreg_reconstructed_mouse_pc1_0.3	reconstructed_mouse_pc1	0.3	13	0.9750428267782643	0.9756825347054032	10768	0.8954490876387982	0.8895552427419473	12307	1808	11068	10682	0.8960072406500487	0.8927914454704893	0.8302035624855104	0.8236033885543849	764.8	cuda	12307	1802	0.7552041213741245	0.7487256750881645	0.7500901525448135	0.7421097054600756	1538.4	cuda	0.7545370224782612	0.7478679055319619	0.7496136812384472	0.7416495084623341	1736.0	0.1414702181717875	0.14080311927592415	0.08058988124706323	0.08011340994069693
orthoreg_reconstructed_mouse_pc1_0.3	reconstructed_mouse_pc1	0.3	101	0.9750428267782643	0.9756825347054032	10768	0.8954490876387982	0.8895552427419473	12307	1808	11068	10682	0.8958774068860703	0.8931917365399696	0.8304424010215318	0.824234494926969	715.2	cuda	12307	1802	0.7547461045030233	0.7486117885750558	0.7505035745340967	0.742807832581009	1347.4	cuda	0.7549785056770468	0.7489842957977404	0.7502798655005828	0.742743729940141	1291.6	0.14089890120902349	0.14113130238304705	0.08016253552094899	0.07993882648743511
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	101	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	11068	10682	0.854021682851625	0.8492853292598855	0.8352754801747478	0.8293705987587978	678.4	cuda	12307	1802	0.7507844317929381	0.7440171398704752	0.750747025502175	0.7432453448686984	1164.2	cuda	0.7507824506593099	0.7444201657538982	0.7506850641460475	0.7434759895525005	1234.2	0.10323923219231512	0.10323725105868697	0.08459041602870032	0.08452845467257286
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	13	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	11068	10682	0.8538794425347436	0.8490589617897542	0.8353094562225915	0.8293282095010549	900.0	cuda	12307	1802	0.7517408192999043	0.743801155487797	0.7512481159636613	0.7423985396072279	1666.2	cuda	0.751896788014416	0.7446679214841632	0.751407249636097	0.7433599301722894	1890.6	0.10198265452032762	0.10213862323483924	0.0839022065864945	0.0840613402589302
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	42	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	11068	10682	0.8535980327079343	0.8486496385320901	0.835044559134507	0.8288886286985738	797.8	cuda	12307	1802	0.7507081282765284	0.7441885957441624	0.7502659854497207	0.7430426414777513	1339.8	cuda	0.7498807621304124	0.7431670129472117	0.7494076166306859	0.7419628805915129	1519.6	0.10371727057752189	0.10288990443140589	0.08563694250382115	0.08477857368478636
orthoreg_reconstructed_mouse_pc1_0.05	reconstructed_mouse_pc1	0.05	13	0.9881126076728147	0.9902564404413625	10768	0.8086374539037265	0.8016772970249807	12307	1808	11068	10682	0.8425584060732083	0.8375382246395624	0.8357966200121746	0.8301636262381573	736.4	cuda	12307	1802	0.7482143519955482	0.7405468391647124	0.7502925551765482	0.7421879225772786	1593.0	cuda	0.748460388512982	0.74060454923977	0.7503885089584421	0.7421011661292731	1501.4	0.09409801756022629	0.09434405407766011	0.08540811105373247	0.08550406483562634
orthoreg_reconstructed_mouse_pc1_0.05	reconstructed_mouse_pc1	0.05	101	0.9881126076728147	0.9902564404413625	10768	0.8086374539037265	0.8016772970249807	12307	1808	11068	10682	0.8419316440453688	0.8368715393190624	0.8351961421574435	0.8295434164946207	670.0	cuda	12307	1802	0.7480689610306227	0.7410960972993098	0.7504687418814923	0.742879516147918	1139.0	cuda	0.7487278833707639	0.7416019872771346	0.7511537185028516	0.7434624273917255	1324.8	0.0932037606746049	0.0938626830147461	0.08404242365459191	0.08472740027595127
orthoreg_reconstructed_mouse_pc1_0.05	reconstructed_mouse_pc1	0.05	42	0.9881126076728147	0.9902564404413625	10768	0.8086374539037265	0.8016772970249807	12307	1808	11068	10682	0.8417598438626789	0.8364297959445435	0.8352743137585071	0.8291885162955858	765.6	cuda	12307	1802	0.7477943979646098	0.7410587846298539	0.7499708511293941	0.7427366521519289	1296.2	cuda	0.7468017861408166	0.7399888953180853	0.7488601578315824	0.7415947972254708	1517.6	0.09495805772186228	0.0939654458980691	0.0864141559269247	0.08530346262911304
