coverage_group	coverage_description	setting	setting_label	random_state	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson	spearman	r2	delta_vs_human_only_pearson	delta_vs_human_only_r2
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_global	human_only	13	10	1347	0	0	0.7697004900093298	0.767416603130857	0.591662975125808	0.0	0.0
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	1347	0	0	0.7569103439797664	0.7551001241249834	0.5668538175586771	-0.01279014602956341	-0.02480915756713087
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	1347	0	0	0.7728686254578465	0.770767170486054	0.5965667288718408	0.0031681354485166846	0.004903753746032802
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	coverage_aware_fallback	coverage_aware_fallback	13	10	1347	0	0	0.7697004900093298	0.767416603130857	0.591662975125808	0.0	0.0
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_global	human_only	13	10	11107	11107	11107	0.7457058626312985	0.7373529302314037	0.5532613788250555	0.0	0.0
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	11107	11107	11107	0.8427966481257605	0.8341465585284422	0.7102970136204236	0.09709078549446204	0.15703563479536808
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	11107	11107	11107	0.7455615725058258	0.7377276651148406	0.5530662270966478	-0.00014429012547267916	-0.00019515172840778305
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	13	10	11107	11107	11107	0.8427966481257605	0.8341465585284422	0.7102970136204236	0.09709078549446204	0.15703563479536808
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_global	human_only	13	10	1809	462	0	0.7517173583843514	0.7458169070876325	0.5646770026937431	0.0	0.0
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	1809	462	0	0.7469231673932135	0.743024848702591	0.5513182378695412	-0.00479419099113787	-0.013358764824201952
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	1809	462	0	0.7548211678368405	0.7491766140370038	0.5694462629569257	0.0031038094524891147	0.004769260263182584
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	13	10	1809	462	0	0.7560628025162789	0.7508281556250106	0.5713159507643808	0.0043454441319275006	0.006638948070637696
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_global	human_only	13	10	462	462	0	0.6748107482172195	0.658716634162069	0.45221842885730157	0.0	0.0
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	13	10	462	462	0	0.7060862135132766	0.6952890674118354	0.48646929584612286	0.03127546529605707	0.034250866988821294
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	13	10	462	462	0	0.6773788348575243	0.6639937509396802	0.45643098285590267	0.002568086640304723	0.0042125539986010985
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	13	10	462	462	0	0.7060862135132766	0.6952890674118354	0.48646929584612286	0.03127546529605707	0.034250866988821294
all_genes	All genes in the global common human gene universe.	compact_all_global	human_only	42	10	12916	11569	11107	0.7490559908604981	0.7409880149829604	0.5592792336738444	0.0	0.0
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	12916	11569	11107	0.8308211823040361	0.8246111448850922	0.6900608771553374	0.081765191443538	0.13078164348149302
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	12916	11569	11107	0.7493807257960411	0.7413947627795053	0.5598446286481347	0.0003247349355429696	0.0005653949742903119
all_genes	All genes in the global common human gene universe.	coverage_aware_fallback	coverage_aware_fallback	42	10	12916	11569	11107	0.8327597427664041	0.8260043113929845	0.6934587370482339	0.08370375190590595	0.13417950337438955
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_global	human_only	42	10	11569	11569	11107	0.745308362070477	0.7359332006714167	0.5528504797949617	0.0	0.0
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	11569	11569	11107	0.8404009594548035	0.8319861468358734	0.7062025836354479	0.09509259738432652	0.15335210384048614
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	11569	11569	11107	0.7451593036906043	0.7361299125005953	0.5527596418153067	-0.00014905837987266857	-9.083797965503404e-05
has_any_mouse_prior	Genes with at least one mouse prior value available.	coverage_aware_fallback	coverage_aware_fallback	42	10	11569	11569	11107	0.8404009594548035	0.8319861468358734	0.7062025836354479	0.09509259738432652	0.15335210384048614
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_global	human_only	42	10	1347	0	0	0.7700153433104502	0.7689166377608642	0.5920926027191021	0.0	0.0
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	1347	0	0	0.7551835147170721	0.7527772917181823	0.5640784324722466	-0.01483182859337806	-0.028014170246855485
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	1347	0	0	0.7735242958740173	0.7719011522409454	0.5974093811923629	0.0035089525635670915	0.00531677847326073
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	42	10	1347	0	0	0.7700153433104502	0.7689166377608642	0.5920926027191021	0.0	0.0
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_global	human_only	42	10	11107	11107	11107	0.7469053970007172	0.737825315994976	0.554980856441881	0.0	0.0
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	11107	11107	11107	0.8445013182838605	0.8362178736431174	0.7131513680351469	0.09759592128314332	0.1581705115932659
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	11107	11107	11107	0.7469273541342398	0.7382717198399096	0.5551013224313683	2.195713352259876e-05	0.00012046598948733944
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	42	10	11107	11107	11107	0.8445013182838605	0.8362178736431174	0.7131513680351469	0.09759592128314332	0.1581705115932659
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_global	human_only	42	10	1809	462	0	0.7531658447706662	0.7488460377426415	0.5670115836570575	0.0	0.0
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	1809	462	0	0.7453975087020961	0.7407607754833939	0.5490408799988816	-0.007768336068570081	-0.01797070365817588
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	1809	462	0	0.7552388982505475	0.749629585980364	0.57009338934909	0.0020730534798812927	0.0030818056920325354
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	coverage_aware_fallback	coverage_aware_fallback	42	10	1809	462	0	0.7562845880590162	0.7516747534025954	0.5716220310141017	0.0031187432883500454	0.0046104473570441895
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_global	human_only	42	10	11569	11569	11107	0.745308362070477	0.7359332006714167	0.5528504797949617	0.0	0.0
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	11569	11569	11107	0.8404009594548035	0.8319861468358734	0.7062025836354479	0.09509259738432652	0.15335210384048614
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	11569	11569	11107	0.7451593036906043	0.7361299125005953	0.5527596418153067	-0.00014905837987266857	-9.083797965503404e-05
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	coverage_aware_fallback	coverage_aware_fallback	42	10	11569	11569	11107	0.8404009594548035	0.8319861468358734	0.7062025836354479	0.09509259738432652	0.15335210384048614
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_global	human_only	42	10	1347	0	0	0.7700153433104502	0.7689166377608642	0.5920926027191021	0.0	0.0
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	1347	0	0	0.7551835147170721	0.7527772917181823	0.5640784324722466	-0.01483182859337806	-0.028014170246855485
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	1347	0	0	0.7735242958740173	0.7719011522409454	0.5974093811923629	0.0035089525635670915	0.00531677847326073
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	coverage_aware_fallback	coverage_aware_fallback	42	10	1347	0	0	0.7700153433104502	0.7689166377608642	0.5920926027191021	0.0	0.0
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_global	human_only	42	10	11107	11107	11107	0.7469053970007172	0.737825315994976	0.554980856441881	0.0	0.0
