label	source	lambda	target_vs_saluki_pearson	target_vs_saluki_spearman	ortholog_n	ortholog_pearson	ortholog_spearman	n	n_features	n_with_mouse_pc1	n_with_saluki_mouse_prior	prior_pearson_vs_target	prior_spearman_vs_target	prior_pearson_vs_saluki	prior_spearman_vs_saluki	mean_best_iter	device_used	pure_n	pure_n_features	pure_pearson_vs_target	pure_spearman_vs_target	pure_pearson_vs_saluki	pure_spearman_vs_saluki	pure_mean_best_iter	pure_device_used	shuffled_prior_pearson_vs_target	shuffled_prior_spearman_vs_target	shuffled_prior_pearson_vs_saluki	shuffled_prior_spearman_vs_saluki	shuffled_prior_mean_best_iter
orthoreg_mouse_saluki_0.3	mouse_saluki	0.3	0.9750428267782643	0.9756825347054032	10768	0.8954490876387982	0.8895552427419473	12307	1808	11068	10682	0.8961706565786434	0.8931285375381656	0.8310165815485296	0.8244840347692727	901.6	cuda	12307	1802	0.7559181400341815	0.7508488607926842	0.7508075580500262	0.7442753820864065	1636.2	cuda	0.7540763997149655	0.7490009522914057	0.7492219718708004	0.7426238352899038	1245.2
orthoreg_mouse_saluki_0.1	mouse_saluki	0.1	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	11068	10682	0.8535980327079343	0.8486496385320901	0.835044559134507	0.8288886286985738	797.8	cuda	12307	1802	0.7507081282765284	0.7441885957441624	0.7502659854497207	0.7430426414777513	1339.8	cuda	0.7498807621304124	0.7431670129472117	0.7494076166306859	0.7419628805915129	1519.6
orthoreg_mouse_saluki_0.05	mouse_saluki	0.05	0.9881126076728147	0.9902564404413625	10768	0.8086374539037265	0.8016772970249807	12307	1808	11068	10682	0.8417598438626789	0.8364297959445435	0.8352743137585071	0.8291885162955858	765.6	cuda	12307	1802	0.7477943979646098	0.7410587846298539	0.7499708511293941	0.7427366521519289	1296.2	cuda	0.7468017861408166	0.7399888953180853	0.7488601578315824	0.7415947972254708	1517.6
