setting	prior_mode	shuffled_columns	n_random_states	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson_mean	pearson_sd	spearman_mean	spearman_sd	r2_mean	r2_sd	mean_best_iter_mean	mean_best_iter_sd
compact_all_plus_both_mouse_priors_global	real		3	10	12916	11569	11107	0.829957788687724	0.0007480414314977388	0.8236491021455287	0.0008369338217320742	0.6886789202690125	0.001196808466242942	1001.9666666666667	62.27763108318527
compact_all_plus_both_mouse_priors_shuffled_global	shuffled	mouse_pc1,saluki_mouse_prior	3	10	12916	11569	11107	0.7483021984290156	0.0010182672567226251	0.7405466757172329	0.0009667143846735517	0.5582916140556335	0.0014400436030935248	1575.0333333333335	229.3325169559113
compact_all_global	none		3	10	12916	11569	11107	0.7478300409747766	0.0011954090818376067	0.7399621909794393	0.0010405394337158343	0.5575571656227112	0.0016832754000561368	1454.1333333333332	81.12215069469819
