label	source	lambda	random_state	target_vs_saluki_pearson	target_vs_saluki_spearman	ortholog_n	ortholog_pearson	ortholog_spearman	n	n_features	cv_splits	n_with_mouse_pc1	n_with_saluki_mouse_prior	prior_pearson_vs_target	prior_spearman_vs_target	prior_pearson_vs_saluki	prior_spearman_vs_saluki	mean_best_iter	device_used	pure_n	pure_n_features	pure_cv_splits	pure_pearson_vs_target	pure_spearman_vs_target	pure_pearson_vs_saluki	pure_spearman_vs_saluki	pure_mean_best_iter	pure_device_used	shuffled_prior_cv_splits	shuffled_prior_pearson_vs_target	shuffled_prior_spearman_vs_target	shuffled_prior_pearson_vs_saluki	shuffled_prior_spearman_vs_saluki	shuffled_prior_mean_best_iter	real_minus_shuffled_pearson_vs_target	real_minus_pure_pearson_vs_target	real_minus_shuffled_pearson_vs_saluki	real_minus_pure_pearson_vs_saluki
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	101	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	10	11068	10682	0.8558251851736053	0.8507496973024076	0.837348309365336	0.8310736693093265	823.1	cuda	12307	1802	10	0.7545860526271343	0.7472857154464979	0.7544366003787428	0.746389468186477	1645.4	cuda	10	0.7533727124772698	0.7459714421584919	0.753015529419138	0.7449410981094045	1515.2	0.1024524726963355	0.10123913254647099	0.08433277994619803	0.08291170898659317
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	42	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	10	11068	10682	0.8547326161027748	0.8493937575316912	0.8363460126654498	0.8298252026042845	934.3	cuda	12307	1802	10	0.7527153053095395	0.7457063399419027	0.7518349368901591	0.7442134434790516	1465.9	cuda	10	0.7521050531880734	0.7449499364366435	0.7513801851188944	0.743578878482004	1531.5	0.10262756291470143	0.1020173107932354	0.08496582754655546	0.08451107577529071
orthoreg_reconstructed_mouse_pc1_0.1	reconstructed_mouse_pc1	0.1	13	0.9873841144540413	0.9893246873558657	10768	0.8274613196439591	0.820477556689548	12307	1808	10	11068	10682	0.8546641252366917	0.8496495455994627	0.8361623465014218	0.8298045796106259	780.0	cuda	12307	1802	10	0.7539842280561452	0.7466468893665723	0.7537273491665721	0.7455819759034629	1753.3	cuda	10	0.7542523418031658	0.7467136354058868	0.7540956077981537	0.7456123825111658	1778.4	0.10041178343352586	0.10067989718054648	0.0820667387032682	0.08243499733484971
saluki_human_pc1	saluki_human_pc1	0.0	101	0.9999999999999998	1.0	10768	0.7979356358229241	0.7879258860972056	12307	1808	10	11068	10682	0.8401667460239411	0.8335234855987023	0.8401667460239411	0.8335234855987023	1129.2	cuda	12307	1802	10	0.7536935683233035	0.7454482628852472	0.7536935683233035	0.7454482628852472	1537.0	cuda	10	0.7553205800021691	0.7466467538327412	0.7553205800021691	0.7466467538327412	1895.1	0.08484616602177208	0.08647317770063767	0.08484616602177208	0.08647317770063767
saluki_human_pc1	saluki_human_pc1	0.0	13	0.9999999999999998	1.0	10768	0.7979356358229241	0.7879258860972056	12307	1808	10	11068	10682	0.839414607069339	0.83309542720114	0.839414607069339	0.83309542720114	968.0	cuda	12307	1802	10	0.7549939028636966	0.746058795888749	0.7549939028636966	0.746058795888749	1494.1	cuda	10	0.7546335194337647	0.7460326854533116	0.7546335194337647	0.7460326854533116	1787.6	0.08478108763557435	0.0844207042056424	0.08478108763557435	0.0844207042056424
saluki_human_pc1	saluki_human_pc1	0.0	42	0.9999999999999998	1.0	10768	0.7979356358229241	0.7879258860972056	12307	1808	10	11068	10682	0.8386962594523387	0.8319669595576407	0.8386962594523387	0.8319669595576407	1082.0	cuda	12307	1802	10	0.7540184799848308	0.7457892244947518	0.7540184799848308	0.7457892244947518	1614.7	cuda	10	0.7532510801564242	0.7441869211094212	0.7532510801564242	0.7441869211094212	1581.8	0.08544517929591455	0.08467777946750787	0.08544517929591455	0.08467777946750787
