species	full_pc1_pearson_vs_saluki	full_pc1_spearman_vs_saluki	top_influential_study	top_influential_delta_saluki_reference_pc1_pearson
human	0.9480232595871448	0.9499876908630561	Gejman	0.03492004229154977
mouse	0.9577413332450868	0.9574553641377478	Hanna	-0.010727452055999898
