claim	candidate_a	candidate_b	n	n_bootstrap	pearson_a	pearson_a_ci95_low	pearson_a_ci95_high	pearson_b	pearson_b_ci95_low	pearson_b_ci95_high	difference_a_minus_b	difference_ci95_low	difference_ci95_high	bootstrap_fraction_le_zero
Saluki agreement after Gejman exclusion	human_no_gejman_pc1	human_full_pc1	13265	5000	0.9829433018786946	0.9818142837652944	0.9840104395376343	0.9515212418623875	0.9498308365322375	0.9531903797793198	0.031422060016307096	0.029783666928301658	0.03302644023729175	0.0
Ortholog concordance after Gejman exclusion: all one-to-one orthologs	human_no_gejman_pc1	human_full_pc1	12592	5000	0.7552849492591986	0.7465449797961364	0.7635898305094587	0.7406205595071675	0.7319511739163261	0.7493103777704159	0.014664389752031104	0.011101055233986759	0.018141643197521727	0.0
Ortholog concordance after Gejman exclusion: Ensembl high-confidence orthologs	human_no_gejman_pc1	human_full_pc1	12376	5000	0.7582914252186782	0.7497959568301146	0.7664998894193725	0.7436602879264583	0.7352122720507437	0.7521980085794856	0.014631137292219876	0.010986811207902578	0.01810527307932712	0.0
Real prior versus human-only	real_prior	human_only	12916	5000	0.8324369118560648	0.8263154180069642	0.8382773853399712	0.7525258983742603	0.7443617426703844	0.7604527810174662	0.07991101348180452	0.07397701291420943	0.0861681456142315	0.0
Real prior versus shuffled prior	real_prior	shuffled_prior	12916	5000	0.8324369118560648	0.8263154180069642	0.8382773853399712	0.7530610320577142	0.7448515538924306	0.7609736878139173	0.07937587979835059	0.07348105411256371	0.08553792757921105	0.0
