metric	extreme_direction	observed_gejman	comparator_n	comparator_median	comparator_q025	comparator_q975	observed_percentile	empirical_tail_proportion
pc1_stability_pearson	lower	0.9550487491223754	500	0.9438074665995966	0.9318879666976522	0.9561385186655766	0.964	0.9640718562874252
delta_saluki_pearson	higher	0.03142206001630676	500	-0.0926331517468133	-0.1151115748626808	-0.0712960240028717	1.0	0.001996007984031936
delta_ortholog_pearson	higher	0.014664389752031104	500	-0.06164563588823718	-0.07997947158118483	-0.04758080413834991	1.0	0.001996007984031936
